# strain(%), strain_el(%), stress(GPa)
0.16040000 0.15658593 0.12150813
0.16080000 0.15701998 0.12184466
0.16120000 0.15768650 0.12236144
0.16160000 0.15804587 0.12264007
0.16200000 0.15843529 0.12294200
0.16240000 0.15882856 0.12324692
0.16280000 0.15925367 0.12357652
0.16320000 0.15956822 0.12382041
0.16360000 0.15990977 0.12408522
0.16400000 0.16029574 0.12438448
0.16440000 0.16070592 0.12470251
0.16480000 0.16095852 0.12489836
0.16520000 0.16154227 0.12535096
0.16560000 0.16206838 0.12575887
0.16600000 0.16242648 0.12603652
0.16640000 0.16277178 0.12630424
0.16680000 0.16312197 0.12657576
0.16720000 0.16345636 0.12683502
0.16760000 0.16386396 0.12715104
0.16800000 0.16448048 0.12762906
0.16840000 0.16485359 0.12791834
0.16880000 0.16523349 0.12821289
0.16920000 0.16539329 0.12833679
0.16960000 0.16569462 0.12857043
0.17000000 0.16627141 0.12901763
0.17040000 0.16652444 0.12921382
0.17080000 0.16696281 0.12955370
0.17120000 0.16753457 0.12999701
0.17160000 0.16807753 0.13041798
0.17200000 0.16843458 0.13069482
0.17240000 0.16860432 0.13082642
0.17280000 0.16895863 0.13110113
0.17320000 0.16927514 0.13134654
0.17360000 0.16990027 0.13183122
0.17400000 0.17029238 0.13213524
0.17440000 0.17065300 0.13241484
0.17480000 0.17095404 0.13264824
0.17520000 0.17152090 0.13308776
0.17560000 0.17165702 0.13319329
0.17600000 0.17211530 0.13354861
0.17640000 0.17242505 0.13378878
0.17680000 0.17321044 0.13439771
0.17720000 0.17361310 0.13470991
0.17760000 0.17402306 0.13502777
0.17800000 0.17411600 0.13509983
0.17840000 0.17429735 0.13524043
0.17880000 0.17460773 0.13548109
0.17920000 0.17513351 0.13588875
0.17960000 0.17608448 0.13662606
0.18000000 0.17642639 0.13689116
0.18040000 0.17684404 0.13721498
0.18080000 0.17695115 0.13729803
0.18120000 0.17718479 0.13747918
0.18160000 0.17762411 0.13781980
0.18200000 0.17788183 0.13801962
0.18240000 0.17863129 0.13860070
0.18280000 0.17922919 0.13906427
0.18320000 0.17965021 0.13939070
0.18360000 0.17993298 0.13960995
0.18400000 0.18010445 0.13974290
0.18440000 0.18022149 0.13983364
0.18480000 0.18065028 0.14016610
0.18520000 0.18131399 0.14068069
0.18560000 0.18187065 0.14111229
0.18600000 0.18239749 0.14152077
0.18640000 0.18283936 0.14186337
0.18680000 0.18307799 0.14204839
0.18720000 0.18336075 0.14226762
0.18760000 0.18360924 0.14246029
0.18800000 0.18386115 0.14265560
0.18840000 0.18430174 0.14299721
0.18880000 0.18472734 0.14332719
0.18920000 0.18558608 0.14399300
0.18960000 0.18607401 0.14437132
0.19000000 0.18631460 0.14455785
0.19040000 0.18651486 0.14471312
0.19080000 0.18658222 0.14476535
0.19120000 0.18726590 0.14529543
0.19160000 0.18765090 0.14559393
0.19200000 0.18806642 0.14591610
0.19240000 0.18865110 0.14636942
0.19280000 0.18926885 0.14684839
0.19320000 0.18948012 0.14701219
0.19360000 0.18965171 0.14714523
0.19400000 0.19021831 0.14758454
0.19440000 0.19046898 0.14777889
0.19480000 0.19072919 0.14798064
0.19520000 0.19148944 0.14857009
0.19560000 0.19222081 0.14913715
0.19600000 0.19223868 0.14915101
0.19640000 0.19257627 0.14941275
0.19680000 0.19273494 0.14953578
0.19720000 0.19309214 0.14981272
0.19760000 0.19371488 0.15029556
0.19800000 0.19416529 0.15064477
0.19840000 0.19465607 0.15102529
0.19880000 0.19461939 0.15099686
0.19920000 0.19518380 0.15143447
0.19960000 0.19557362 0.15173671
0.20000000 0.19577843 0.15189550
0.20040000 0.19623326 0.15224815
0.20080000 0.19688063 0.15275008
0.20120000 0.19743294 0.15317831
0.20160000 0.19775016 0.15342426
0.20200000 0.19845042 0.15396720
0.20240000 0.19845488 0.15397065
0.20280000 0.19871540 0.15417265
0.20320000 0.19895407 0.15435770
0.20360000 0.19943232 0.15472850
0.20400000 0.20002930 0.15519136
0.20440000 0.20055639 0.15560003
0.20480000 0.20099056 0.15593666
0.20520000 0.20115080 0.15606090
0.20560000 0.20126872 0.15615233
0.20600000 0.20180338 0.15656687
0.20640000 0.20228577 0.15694088
0.20680000 0.20294836 0.15745461
0.20720000 0.20326965 0.15770372
0.20760000 0.20371157 0.15804636
0.20800000 0.20405473 0.15831243
0.20840000 0.20434000 0.15853360
0.20880000 0.20456850 0.15871077
0.20920000 0.20490975 0.15897535
0.20960000 0.20546985 0.15940962
0.21000000 0.20628670 0.16004295
0.21040000 0.20662434 0.16030474
0.21080000 0.20689247 0.16051263
0.21120000 0.20695171 0.16055856
0.21160000 0.20743840 0.16093590
0.21200000 0.20792367 0.16131215
0.21240000 0.20820215 0.16152807
0.21280000 0.20875803 0.16195907
0.21320000 0.20935479 0.16242176
0.21360000 0.20982110 0.16278330
0.21400000 0.21009701 0.16299723
0.21440000 0.21012829 0.16302148
0.21480000 0.21046304 0.16328102
0.21520000 0.21088149 0.16360546
0.21560000 0.21146187 0.16405545
0.21600000 0.21194297 0.16442846
0.21640000 0.21249264 0.16485464
0.21680000 0.21277645 0.16507469
0.21720000 0.21304476 0.16528272
0.21760000 0.21371457 0.16580205
0.21800000 0.21373658 0.16581911
0.21840000 0.21409198 0.16609467
0.21880000 0.21455773 0.16645578
0.21920000 0.21505117 0.16683836
0.21960000 0.21566339 0.16731304
0.22000000 0.21600004 0.16757406
0.22040000 0.21635666 0.16785056
0.22080000 0.21665482 0.16808174
0.22120000 0.21703536 0.16837678
0.22160000 0.21741369 0.16867011
0.22200000 0.21777215 0.16894804
0.22240000 0.21810788 0.16920835
0.22280000 0.21855235 0.16955296
0.22320000 0.21916492 0.17002791
0.22360000 0.21958139 0.17035081
0.22400000 0.21980228 0.17052207
0.22440000 0.22035768 0.17095270
0.22480000 0.22079503 0.17129179
0.22520000 0.22091998 0.17138867
0.22560000 0.22135042 0.17172240
0.22600000 0.22180083 0.17207162
0.22640000 0.22207411 0.17228351
0.22680000 0.22252793 0.17263537
0.22720000 0.22292067 0.17293988
0.22760000 0.22345293 0.17335256
0.22800000 0.22388718 0.17368924
0.22840000 0.22451298 0.17417445
0.22880000 0.22466058 0.17428890
0.22920000 0.22477230 0.17437551
0.22960000 0.22512862 0.17465178
0.23000000 0.22566192 0.17506527
0.23040000 0.22600401 0.17533050
0.23080000 0.22653376 0.17574124
0.23120000 0.22690187 0.17602665
0.23160000 0.22743278 0.17643828
0.23200000 0.22788772 0.17679102
0.23240000 0.22823319 0.17705887
0.23280000 0.22848572 0.17725466
0.23320000 0.22863083 0.17736717
0.23360000 0.22927106 0.17786356
0.23400000 0.22965930 0.17816458
0.23440000 0.23029726 0.17865922
0.23480000 0.23048612 0.17880565
0.23520000 0.23109930 0.17928107
0.23560000 0.23123672 0.17938761
0.23600000 0.23175947 0.17979292
0.23640000 0.23191228 0.17991140
0.23680000 0.23233170 0.18023659
0.23720000 0.23282609 0.18061991
0.23760000 0.23343328 0.18109069
0.23800000 0.23403156 0.18155455
0.23840000 0.23433054 0.18178637
0.23880000 0.23427629 0.18174431
0.23920000 0.23461716 0.18200860
0.23960000 0.23517595 0.18244185
0.24000000 0.23564423 0.18280492
0.24040000 0.23612955 0.18318120
0.24080000 0.23653482 0.18349543
0.24120000 0.23705718 0.18390043
0.24160000 0.23749171 0.18423734
0.24200000 0.23781506 0.18448804
0.24240000 0.23807796 0.18469188
0.24280000 0.23833291 0.18488955
0.24320000 0.23865592 0.18513999
0.24360000 0.23909068 0.18547708
0.24400000 0.23976189 0.18599749
0.24440000 0.23993083 0.18612848
0.24480000 0.24034072 0.18644628
0.24520000 0.24090576 0.18688437
0.24560000 0.24127351 0.18716951
0.24600000 0.24151716 0.18735842
0.24640000 0.24178678 0.18756746
0.24680000 0.24243787 0.18807228
0.24720000 0.24288311 0.18841749
0.24760000 0.24316617 0.18863695
0.24800000 0.24355686 0.18893987
0.24840000 0.24411359 0.18937152
0.24880000 0.24434261 0.18954909
0.24920000 0.24485091 0.18994320
0.24960000 0.24516160 0.19018408
0.25000000 0.24562482 0.19054324
0.25040000 0.24589777 0.19075487
0.25080000 0.24638361 0.19113155
0.25120000 0.24663781 0.19132865
0.25160000 0.24681906 0.19146918
0.25200000 0.24745250 0.19196030
0.25240000 0.24803275 0.19241019
0.25280000 0.24859121 0.19284319
0.25320000 0.24903794 0.19318956
0.25360000 0.24930254 0.19339471
0.25400000 0.24937777 0.19345303
0.25440000 0.24979449 0.19377613
0.25480000 0.25014055 0.19404445
0.25520000 0.25044022 0.19427679
0.25560000 0.25095147 0.19467318
0.25600000 0.25148764 0.19508890
0.25640000 0.25192818 0.19543046
0.25680000 0.25242384 0.19581477
0.25720000 0.25281651 0.19611922
0.25760000 0.25312625 0.19635937
0.25800000 0.25366417 0.19677644
0.25840000 0.25393767 0.19698849
0.25880000 0.25441779 0.19736075
0.25920000 0.25480840 0.19766360
0.25960000 0.25519819 0.19796582
0.26000000 0.25545429 0.19816438
0.26040000 0.25597565 0.19856861
0.26080000 0.25643627 0.19892575
0.26120000 0.25658345 0.19903987
0.26160000 0.25701658 0.19937569
0.26200000 0.25746507 0.19972342
0.26240000 0.25788348 0.20004782
0.26280000 0.25828220 0.20035697
0.26320000 0.25866090 0.20065058
0.26360000 0.25894546 0.20087122
0.26400000 0.25960361 0.20138150
0.26440000 0.25992196 0.20162834
0.26480000 0.26015809 0.20181141
0.26520000 0.26055853 0.20212189
0.26560000 0.26108994 0.20253391
0.26600000 0.26157401 0.20290923
0.26640000 0.26191707 0.20317522
0.26680000 0.26220909 0.20340163
0.26720000 0.26259066 0.20369747
0.26760000 0.26293448 0.20396405
0.26800000 0.26353281 0.20442796
0.26840000 0.26385853 0.20468050
0.26880000 0.26430594 0.20502739
0.26920000 0.26437972 0.20508460
0.26960000 0.26460227 0.20525715
0.27000000 0.26529371 0.20579324
0.27040000 0.26572426 0.20612707
0.27080000 0.26626661 0.20654757
0.27120000 0.26692877 0.20706097
0.27160000 0.26734199 0.20738135
0.27200000 0.26777789 0.20771932
0.27240000 0.26773402 0.20768531
0.27280000 0.26801753 0.20790513
0.27320000 0.26837298 0.20818072
0.27360000 0.26889631 0.20858647
0.27400000 0.26932352 0.20891771
0.27440000 0.27021342 0.20960768
0.27480000 0.27061633 0.20992007
0.27520000 0.27058242 0.20989378
0.27560000 0.27066877 0.20996073
0.27600000 0.27127229 0.21042866
0.27640000 0.27166400 0.21073237
0.27680000 0.27207927 0.21105434
0.27720000 0.27274752 0.21157246
0.27760000 0.27331979 0.21201616
0.27800000 0.27384217 0.21242118
0.27840000 0.27377721 0.21237082
0.27880000 0.27403291 0.21256907
0.27920000 0.27439959 0.21285337
0.27960000 0.27487628 0.21322296
0.28000000 0.27563900 0.21381433
0.28040000 0.27606456 0.21414429
0.28080000 0.27627195 0.21430508
0.28120000 0.27658141 0.21454501
0.28160000 0.27700538 0.21487373
0.28200000 0.27745612 0.21522321
0.28240000 0.27762580 0.21535476
0.28280000 0.27804528 0.21568001
0.28320000 0.27865366 0.21615171
0.28360000 0.27902523 0.21643980
0.28400000 0.27926674 0.21662705
0.28440000 0.27948404 0.21679553
0.28480000 0.27998514 0.21718405
0.28520000 0.28041977 0.21752104
0.28560000 0.28092132 0.21790991
0.28600000 0.28134407 0.21823768
0.28640000 0.28190387 0.21867171
0.28680000 0.28206747 0.21879856
0.28720000 0.28245556 0.21909946
0.28760000 0.28274490 0.21932380
0.28800000 0.28322321 0.21969465
0.28840000 0.28361104 0.21999534
0.28880000 0.28443846 0.22063688
0.28920000 0.28476580 0.22089067
0.28960000 0.28498412 0.22105994
0.29000000 0.28521980 0.22124267
0.29040000 0.28546088 0.22142959
0.29080000 0.28591311 0.22178022
0.29120000 0.28642596 0.22217785
0.29160000 0.28692901 0.22256789
0.29200000 0.28747593 0.22299194
0.29240000 0.28779939 0.22324272
0.29280000 0.28799113 0.22339139
0.29320000 0.28810453 0.22347931
0.29360000 0.28864729 0.22390013
0.29400000 0.28900181 0.22417500
0.29440000 0.28964530 0.22467393
0.29480000 0.29040958 0.22526650
0.29520000 0.29060053 0.22541455
0.29560000 0.29095636 0.22569044
0.29600000 0.29126887 0.22593274
0.29640000 0.29149142 0.22610529
0.29680000 0.29186871 0.22639782
0.29720000 0.29234997 0.22677096
0.29760000 0.29277016 0.22709674
0.29800000 0.29324002 0.22746105
0.29840000 0.29378744 0.22788548
0.29880000 0.29446894 0.22841387
0.29920000 0.29448991 0.22843013
0.29960000 0.29449432 0.22843355
0.30000000 0.29492842 0.22877013
0.30040000 0.29530176 0.22905959
0.30080000 0.29576101 0.22941566
0.30120000 0.29653602 0.23001656
0.30160000 0.29700015 0.23037641
0.30200000 0.29749397 0.23075929
0.30240000 0.29765415 0.23088348
0.30280000 0.29773646 0.23094730
0.30320000 0.29800678 0.23115689
0.30360000 0.29845196 0.23150205
0.30400000 0.29894321 0.23188294
0.30440000 0.29949994 0.23231459
0.30480000 0.30004047 0.23273369
0.30520000 0.30055103 0.23312954
0.30560000 0.30095839 0.23344538
0.30600000 0.30137760 0.23377041
0.30640000 0.30131229 0.23371977
0.30680000 0.30125340 0.23367411
0.30720000 0.30183724 0.23412679
0.30760000 0.30271851 0.23481007
0.30800000 0.30332587 0.23528097
0.30840000 0.30373258 0.23559631
0.30880000 0.30400476 0.23580734
0.30920000 0.30430081 0.23603688
0.30960000 0.30452824 0.23621322
